symbol,name,price_usd,change_abs,change_pct,market_cap_usd,volume_24h_usd,volume_since0_usd,total_volume_all_24h,circulating_supply,vol_ratio,price_usd_log,market_cap_log,volume_24h_log,node_id,degree_centrality,pagerank
CREAM-USD,Cream Finance USD,13.75,0.59,0.0448,25513000.0,1544000.0,1544000.0,1544000.0,1856000.0,0.06051816720887391,2.691243082785829,17.054698723340056,14.249887657235043,581,0.0016388069485414618,0.00025171676976511696
CET-USD,CoinEx Token USD,0.035987,-0.000923,-0.025,25501000.0,1056000.0,1056000.0,1056000.0,708634000.0,0.041410140778792986,0.03535459549601295,17.05422826426016,13.869999690217593,582,0.0019665683382497543,0.0003033683652307677
FER-USD,Ferro USD,0.028743,-0.000475,-0.016200000000000003,25478000.0,94364.0,94364.0,94364.0,886405000.0,0.00370374440693932,0.028337668611752072,17.053325931901416,11.454925520672239,583,0.0029498525073746312,0.00039324372122922146
TRB-USD,Tellor USD,14.91,0.22,0.0149,25405000.0,4160999.9999999995,4160999.9999999995,4160999.9999999995,1703000.0,0.16378665617004526,2.7669478423496954,17.0504566023723,15.241266228291893,584,0.0019665683382497543,0.0002977720067914155
EPS8938-USD,Ellipsis USD,0.035045,0.000227,0.0065,25362000.0,293672.0,293672.0,293672.0,723702000.0,0.011579212995820518,0.03444490403304977,17.04876258820605,12.590222182419472,585,0.0019665683382497543,0.0002970676378340539
GOG-USD,Guild of Guardians USD,0.069315,-8e-06,-0.0001,25293000.0,223229.0,223229.0,223229.0,364894000.0,0.00882572253192583,0.06701825655078339,17.046038275109552,12.315957909059417,586,0.0032776138970829235,0.00045559100874537246
BOSON-USD,Boson Protocol USD,0.220218,-0.000339,-0.0015,25201000.0,660085.0,660085.0,660085.0,114436000.0,0.02619280980913456,0.19902953130686252,17.04239427391497,13.40012540854421,587,0.002622091117666339,0.0003785740726289206
NOM-USD,Onomy Protocol USD,0.757052,-0.031119,-0.0395,25117000.0,827209.0,827209.0,827209.0,33177999.999999996,0.03293422781383127,0.5636374046691159,17.03905550549441,13.625813871638085,588,0.0016388069485414618,0.0002437178885932533
STARL-USD,Starlink USD,2.5e-06,-8e-08,-0.0321,24956000.0,1292000.0,1292000.0,1292000.0,9979000000000.0,0.051771117166212535,2.4999968750052084e-06,17.032624872283336,14.071702737318192,589,0.0016388069485414618,0.00026068909999435555
WOZX-USD,Efforce USD,0.046764,0.002443,0.0551,24651000.0,439469.0,439469.0,439469.0,527135999.99999994,0.017827633767392805,0.045703500558985935,17.02032806614774,12.993324734391924,590,0.002622091117666339,0.00037979483382039487
FARM-USD,Harvest Finance USD,35.81,0.34,0.0095,24396000.0,2360000.0,2360000.0,2360000.0,681174.0,0.09673717002787342,3.60576954739093,17.00992978338881,14.674172600730516,591,0.0019665683382497543,0.0002976549587772514
DEP-USD,DEAPcoin USD,0.0033,-6e-06,-0.0018,23860000.0,4321000.0,4321000.0,4321000.0,7231000000.0,0.18109807208717518,0.003294566949430031,16.98771401654519,15.278997646341953,592,0.0019665683382497543,0.00028553443074790815
ALT10897-USD,Alitas USD,0.198113,-0.000402,-0.002,23774000.0,623.0,623.0,623.0,120000000.0,2.6205098006225288e-05,0.18074781911816268,16.984103146585465,6.436150368369428,593,0.0019665683382497543,0.00030453395494390266
OM-USD,OnlyMemes USD,0.03763,-0.006661,-0.15039999999999998,23688000.0,17441000.0,17441000.0,17441000.0,629506000.0,0.7362799729821007,0.036939266477995315,16.980479190979032,16.674334371586966,594,0.0016388069485414618,0.00025807699809709606
BZZ-USD,Swarm USD,0.489848,0.000237,0.0005,23647000.0,212853.0,212853.0,212853.0,48274000.0,0.009001268659872289,0.39867410133082587,16.978746857250457,12.268361763656653,595,0.0016388069485414618,0.00026384197043676134
COVAL-USD,Circuits of Value USD,0.013208,-0.0008,-0.0571,23575000.0,308516.0,308516.0,308516.0,1785000000.0,0.013086574761399787,0.013121534889971599,16.97569742890161,12.639532226157796,596,0.0019665683382497543,0.0003050866734609239
ICHI-USD,ICHI USD,3.6031,-0.0753,-0.020499999999999997,23567000.0,99991.0,99991.0,99991.0,6541000.0,0.004242839563796835,1.5267299895611022,16.975358028802447,11.512845461770057,597,0.002622091117666339,0.0003658387806870232
ROOK-USD,Rook USD,38.02,-0.78,-0.02,23483000.0,201293.0,201293.0,201293.0,617636.0,0.008571860494826044,3.6640743351949654,16.97178735565995,12.212521804924354,598,0.0022943297279580466,0.00032674028924369514
SOFI-USD,RAI Finance USD,0.083612,-0.000859,-0.0102,23478000.0,196721.0,196721.0,196721.0,280793000.0,0.008378950506857484,0.08029990536460524,16.97157441301367,12.189546843572838,599,0.002622091117666339,0.00037388935974767503
HAI-USD,Hacken Token USD,0.036276,-0.00015,-0.0040999999999999995,23464000.0,2800000.0,2800000.0,2800000.0,646804000.0,0.11933174224343675,0.03563351762305341,16.970977932257902,14.845130332288226,600,0.003933136676499509,0.0005426067792808036
VXV-USD,Vectorspace AI USD,0.481694,-0.015027,-0.030299999999999997,23354000.0,107128.0,107128.0,107128.0,48484000.0,0.004587137107133682,0.39318602782163986,16.966278876437013,11.58178899475957,601,0.0019665683382497543,0.00030762753076121687
BURGER-USD,BurgerCities USD,0.650623,-0.007838,-0.011899999999999999,23328000.0,33859000.0,33859000.0,33859000.0,35855000.0,1.451431755829904,0.5011527924062764,16.96516495665746,17.337715430394677,602,0.002622091117666339,0.00038221358820917403
RARI-USD,Rarible USD,1.6073,0.0198,0.0125,23211000.0,332180.0,332180.0,332180.0,14441000.0,0.014311317909611822,0.958315203129387,16.96013690528272,12.713435280064498,603,0.0019665683382497543,0.00029172205278462504
HEZ-USD,Hermez Network USD,4.9244,-0.0285,-0.0058,23145000.0,275517.0,275517.0,275517.0,4700000.0,0.01190395333765392,1.7790794160706804,16.95728937565338,12.526408241193995,604,0.0032776138970829235,0.00043779728642654575
WNCG-USD,Nine Chronicles USD,0.095653,-0.001265,-0.0131,23135000.0,677941.0,677941.0,677941.0,241867000.0,0.029303695699157122,0.09135053255619767,16.956857223547786,13.426817017540575,605,0.0022943297279580466,0.0003377896775417568
WING7048-USD,Wing Finance USD,7.0652,0.0572,0.0082,22900000.0,43280000.0,43280000.0,43280000.0,3241000.0,1.8899563318777293,2.0875585097817835,16.94664751219259,17.58320121560786,606,0.0019665683382497543,0.00030316121385985374
FRONT-USD,Frontier USD,0.255228,0.00724,0.0292,22971000.0,21889000.0,21889000.0,21889000.0,90000000.0,0.9528971311653824,0.22731722938992338,16.94974315229652,16.901494831180337,607,0.0022943297279580466,0.0003321342369066982
DC21414-USD,Dogechain USD,0.001337,-3.9e-05,-0.0287,22901000.0,2554000.0,2554000.0,2554000.0,17133000000.0,0.11152351425701934,0.0013361070113619205,16.94669117935953,14.753171707117223,608,0.0019665683382497543,0.00029731979476083976
CUBE-USD,Somnium Space Cubes USD,1.8273,-0.098,-0.0509,22842000.0,37432.0,37432.0,37432.0,12500000.0,0.0016387356623763243,1.0393221926425433,16.94411154837169,10.530307947299276,609,0.0016388069485414618,0.00025450459894063533
SANTOS-USD,Santos FC Fan Token USD,4.9629,-0.3434,-0.0647,22581000.0,190834000.0,190834000.0,190834000.0,4550000.0,8.451087197201186,1.785556939918176,16.932619446969795,19.066914503408395,610,0.002622091117666339,0.0003761625815477814
DREP-USD,Drep [new] USD,0.465323,-0.000894,-0.0019,22679000.0,4160999.9999999995,4160999.9999999995,4160999.9999999995,48737000.0,0.18347369813483838,0.38207569598306856,16.93694998823465,15.241266228291893,611,0.0016388069485414618,0.0002646285618625914
CULT-USD,Cult DAO USD,5.24e-06,-1.6e-07,-0.029500000000000002,22634000.0,1040999.9999999999,1040999.9999999999,1040999.9999999999,4319000000000.0,0.04599275426349739,5.239986271247959e-06,16.934963802689342,13.855693308211437,612,0.0019665683382497543,0.00030444061653417084
HELLO-USD,HELLO USD,0.042364,-0.000698,-0.016200000000000003,22568000.0,581690.0,581690.0,581690.0,532703999.99999994,0.025774991137894363,0.0414912105452513,16.932043575974497,13.273694657886434,613,0.0019665683382497543,0.0002964142824269336
KRT-USD,TerraKRW USD,0.000588,-6.4e-05,-0.0984,22533000.0,9.0,9.0,9.0,38346000000.0,3.994141925176408e-07,0.0005878271957359533,16.93049150371561,2.302585092994046,614,0.0022943297279580466,0.00033561759124947204
AMB-USD,AirDAO USD,0.014887,0.001469,0.1095,22285000.0,16424000.0,16424000.0,16424000.0,1497000000.0,0.7369979807045097,0.014777276246839641,16.919424409236026,16.614254298567413,615,0.0022943297279580466,0.00034333408442680484
BNANA-USD,Chimpion USD,0.701682,-0.017267,-0.024,22263000.0,126896.0,126896.0,126896.0,31727000.0,0.005699860755513633,0.5316171736816737,16.918436710537957,11.751131012761096,616,0.0022943297279580466,0.0003413468272937997
PORTO-USD,FC Porto Fan Token USD,2.8392,-0.1824,-0.0604,22146000.0,136437000.0,136437000.0,136437000.0,7800000.0,6.16079653210512,1.3452640115618988,16.913167496395072,18.73137353491548,617,0.0022943297279580466,0.00034734313486605345
RMRK-USD,RMRK USD,2.3293,-0.0526,-0.022099999999999998,22129000.0,130012.0,130012.0,130012.0,9500000.0,0.00587518640697727,1.2027620716848793,16.912399568667574,11.775389724438053,618,0.0019665683382497543,0.0002995852873969379
GF15585-USD,GuildFi USD,0.081514,-0.000816,-0.009899999999999999,22039000.0,1758000.0,1758000.0,1758000.0,270367000.0,0.07976768455919053,0.0783619113110096,16.908324214542937,14.379687926055311,619,0.0016388069485414618,0.00026343553858688274
XPR-USD,Proton USD,0.001405,-8e-06,-0.0055000000000000005,21949000.0,1109000.0,1109000.0,1109000.0,15620000000.0,0.05052621987334275,0.0014040139110286084,16.904232183921255,13.918970168045353,620,0.0022943297279580466,0.00034112812393866516
HERO10778-USD,Metahero USD,0.004307,-3.3e-05,-0.0077,21946000.0,791355.0,791355.0,791355.0,5096000000.0,0.036059190740909505,0.004297751421741571,16.90409549409927,13.581503208712846,621,0.002622091117666339,0.0003886035112413907
MARO-USD,Maro USD,0.028205,-0.000665,-0.023,21910000.0,167989.0,167989.0,167989.0,776833000.0,0.007667229575536285,0.02781456349459,16.902453757212907,12.03165973280426,622,0.0016388069485414618,0.0002586137980281179
VITE-USD,VITE USD,0.022567,-0.000379,-0.0165,21833000.0,9252000.0,9252000.0,9252000.0,967467000.0,0.42376219484266936,0.022316132460478304,16.89893319044748,16.0403504104182,623,0.0019665683382497543,0.00028900961894394504
VAI8479-USD,VAIOT USD,0.093671,-0.003101,-0.032,21786000.0,1726000.0,1726000.0,1726000.0,232583000.0,0.07922519048930506,0.08953992750964969,16.896778165525564,14.361317729999618,624,0.0019665683382497543,0.00029941526918456475
MET-USD,Metronome USD,1.5166,0.0318,0.0214,21687000.0,15000.0,15000.0,15000.0,14300000.0,0.0006916585973163646,0.9229087841757304,16.892223606761117,9.61587214452889,625,0.0022943297279580466,0.0003348352819751752
EPIC-USD,Epic Cash USD,1.3404,0.0012,0.0009,21616000.0,12996.0,12996.0,12996.0,16126999.999999998,0.000601221317542561,0.850321854931944,16.888944385444145,9.47247384058159,626,0.0029498525073746312,0.00042324610495932227
DOME-USD,Everdome USD,0.001135,7e-06,0.0063,21555000.0,2080000.0,2080000.0,2080000.0,18999000000.0,0.09649733240547437,0.0011343563744639538,16.886118412556318,14.547878932446617,627,0.002622091117666339,0.0003902109773712549
HOPR-USD,HOPR USD,0.063306,0.00073,0.0117,21598000.0,527311.0,527311.0,527311.0,341174000.0,0.024414806926567275,0.06138292246910227,16.888111322075424,13.175547682703195,628,0.0022943297279580466,0.00035275263061777107
PRQ-USD,PARSIQ USD,0.115507,0.005289,0.048,21398000.0,1014999.9999999999,1014999.9999999999,1014999.9999999999,185257000.0,0.047434339657911946,0.1093090100836701,16.878808064414027,13.830400155679214,629,0.0019665683382497543,0.0003047142883657396
SDN-USD,Shiden Network USD,0.356254,0.00727,0.0208,21327000.0,254692.0,254692.0,254692.0,59863000.0,0.011942232850377456,0.3047264876110392,16.87548448046865,12.447814177276173,630,0.0016388069485414618,0.00026692036635960154
MDAO18913-USD,MarsDAO USD,0.301634,0.000341,0.0011,21295000.0,978255.0,978255.0,978255.0,70599000.0,0.04593824841512092,0.2636203982778991,16.87398290829883,13.793526673455332,631,0.0019665683382497543,0.00029105973746498484
DVF-USD,rhino.fi USD,0.874691,0.017583,0.0205,21121000.0,110661.0,110661.0,110661.0,24147000.0,0.005239382604990294,0.628443845841362,16.865778411512522,11.614235789666694,632,0.0016388069485414618,0.00025009799464757114
SOUL-USD,Phantasma USD,0.176276,-0.013262,-0.07,21078000.0,171628.0,171628.0,171628.0,119576000.0,0.008142518265490084,0.16235351581768642,16.86374044791885,12.053090449426499,633,0.0016388069485414618,0.00026433869648108583
EPX-USD,Ellipsis USD,0.00032,-7e-06,-0.0202,20953000.0,2189000.0,2189000.0,2189000.0,65407000000.0,0.10447191332983344,0.0003199488109200459,16.857792439897107,14.598955833334498,634,0.0022943297279580466,0.0003402321484629447
DSLA-USD,DSLA Protocol USD,0.00379,0.000259,0.0732,20816000.0,643224.0,643224.0,643224.0,5492000000.0,0.030900461183704844,0.003782836045220395,16.851232527774393,13.37424986425075,635,0.0029498525073746312,0.00042511908231875344
DIVI-USD,Divi USD,0.006188,0.0,0.0,20731000.0,496199.0,496199.0,496199.0,3350000000.0,0.02393512131590372,0.006168932945527429,16.847140770752187,13.114734350239837,636,0.0016388069485414618,0.00026209549114242
ULT-USD,Ultiledger USD,0.006853,-0.00012,-0.0171,19437000.0,2041.0,2041.0,2041.0,2836000000.0,0.00010500591655090806,0.006829624927648156,16.782689075548472,7.621684998724611,637,0.0032776138970829235,0.0004678153884202794
NMC-USD,Namecoin USD,1.3987,-0.0177,-0.0125,20613000.0,6010.0,6010.0,6010.0,14736000.0,0.00029156357638383546,0.8749269239328474,16.841432551194394,8.701346403039162,638,0.0029498525073746312,0.00042329206348436016
GYEN-USD,GYEN USD,0.00756,-1.4e-05,-0.0018,20669000.0,32514.0,32514.0,32514.0,2734000000.0,0.0015730804586578935,0.007531566415346586,16.844145599575604,10.389456800303252,639,0.002622091117666339,0.0003896693140313813
DG15478-USD,Decentral Games USD,0.031123,0.000497,0.0162,20615000.0,349327.0,349327.0,349327.0,662366000.0,0.016945282561241816,0.03064849956783169,16.841529572631504,12.763766587902898,640,0.002622091117666339,0.00039714352892489236
NAKA-USD,Nakamoto Games USD,0.283785,0.001685,0.006,20535000.0,664304.0,664304.0,664304.0,72361000.0,0.03234984173362552,0.24981274576434337,16.83764135407014,13.406496660344862,641,0.0022943297279580466,0.0003402676286585034
